FIA Code,Common Name,Genus,Species,Subspecies,PLANTS Code,SCIENTIFIC_NAME
11,Pacific silver fir,Abies,amabilis,,ABAM,Abies amabilis
12,balsam fir,Abies,balsamea,,ABBA,Abies balsamea
14,Santa Lucia or bristlecone fir,Abies,bracteata,,ABBR,Abies bracteata
15,white fir,Abies,concolor,,ABCO,Abies concolor
16,Fraser fir,Abies,fraseri,,ABFR,Abies fraseri
17,grand fir,Abies,grandis,,ABGR,Abies grandis
18,corkbark fir,Abies,lasiocarpa,,ABLAA,Abies lasiocarpa var. arizonica
19,subalpine fir,Abies,lasiocarpa,,ABLA,Abies lasiocarpa
20,California red fir,Abies,magnifica,,ABMA,Abies magnifica
21,Shasta red fir,Abies,shastensis,,ABSH,Abies shastensis
22,noble fir,Abies,procera,,ABPR,Abies procera
41,Port-Orford-cedar,Chamaecyparis,lawsoniana,,CHLA,Chamaecyparis lawsoniana
42,Alaska yellow-cedar,Chamaecyparis,nootkatensis,,CHNO,Chamaecyparis nootkatensis
43,Atlantic white-cedar,Chamaecyparis,thyoides,,CHTH2,Chamaecyparis thyoides
51,Arizona cypress,Cupressus,arizonica,,CUAR,Cupressus arizonica
52,Baker or Modoc cypress,Cupressus,bakeri,,CUBA,Cupressus bakeri
53,Tecate cypress,Cupressus,forbesii,,CUFO2,Cupressus forbesii
54,Monterey cypress,Cupressus,macrocarpa,,CUMA2,Cupressus macrocarpa
55,Sargent's cypress,Cupressus,sargentii,,CUSA3,Cupressus sargentii
56,MacNab's cypress,Cupressus,macnabiana,,CUMA,Cupressus macnabiana
58,Pinchot juniper,Juniperus,pinchotii,,JUPI,Juniperus pinchotii
59,redberry juniper,Juniperus,coahuilensis,,JUCO11,Juniperus coahuilensis
60,Drooping juniper,Juniperus,flaccida,,JUFL,Juniperus flaccida
61,Ashe juniper,Juniperus,ashei,,JUAS,Juniperus ashei
62,California juniper,Juniperus,californica,,JUCA7,Juniperus californica
63,alligator juniper,Juniperus,deppeana,,JUDE2,Juniperus deppeana
64,western juniper,Juniperus,occidentalis,,JUOC,Juniperus occidentalis
65,Utah juniper,Juniperus,osteosperma,,JUOS,Juniperus osteosperma
66,Rocky Mountain juniper,Juniperus,scopulorum,,JUSC2,Juniperus scopulorum
67,southern redcedar,Juniperus,virginiana,,JUVIS,Juniperus virginiana var. silicicola
68,eastern redcedar,Juniperus,virginiana,,JUVI,Juniperus virginiana
69,oneseed juniper,Juniperus,monosperma,,JUMO,Juniperus monosperma
70,larch spp.,Larix,,,LARIX,Larix spp.
71,tamarack,Larix,laricina,,LALA,Larix laricina
72,subalpine larch,Larix,lyallii,,LALY,Larix lyallii
73,western larch,Larix,occidentalis,,LAOC,Larix occidentalis
74,Japanese larch,Larix,kaempferi,,LAKA2,Larix kaempferi
75,Siberian larch,Larix,sibirica,,LASI3,Larix sibirica
81,incense-cedar,Calocedrus,decurrens,,CADE27,Calocedrus decurrens
91,Norway spruce,Picea,abies,,PIAB,Picea abies
92,Brewer spruce,Picea,breweriana,,PIBR,Picea breweriana
93,Engelmann spruce,Picea,engelmannii,,PIEN,Picea engelmannii
94,white spruce,Picea,glauca,,PIGL,Picea glauca
95,black spruce,Picea,mariana,,PIMA,Picea mariana
96,blue spruce,Picea,pungens,,PIPU,Picea pungens
97,red spruce,Picea,rubens,,PIRU,Picea rubens
98,Sitka spruce,Picea,sitchensis,,PISI,Picea sitchensis
101,whitebark pine,Pinus,albicaulis,,PIAL,Pinus albicaulis
102,Rocky Mountain bristlecone pine,Pinus,aristata,,PIAR,Pinus aristata
103,knobcone pine,Pinus,attenuata,,PIAT,Pinus attenuata
104,foxtail pine,Pinus,balfouriana,,PIBA,Pinus balfouriana
